Time;cpu
2016-09-07 02:42:47.844;0.54
2016-09-07 02:43:17.826;0.33
2016-09-07 02:43:47.840;1.2
2016-09-07 02:44:17.827;1.66
2016-09-07 02:44:47.840;1.79
2016-09-07 02:45:17.827;1.68
2016-09-07 02:45:47.850;1.6
2016-09-07 02:46:17.829;1.32
2016-09-07 02:46:47.844;1.08
2016-09-07 02:47:17.831;1.27
2016-09-07 02:47:47.846;1.25
2016-09-07 02:48:17.833;1.14
2016-09-07 02:48:47.852;1.15
2016-09-07 02:49:17.833;0.8
2016-09-07 02:49:47.847;0.65
2016-09-07 02:50:17.836;0.76
2016-09-07 02:50:47.851;0.65
2016-09-07 02:51:17.838;1.47
2016-09-07 02:51:47.864;1.09
2016-09-07 02:52:17.838;1.01
2016-09-07 02:52:47.852;0.69
2016-09-07 02:53:17.840;0.58
2016-09-07 02:53:47.863;0.79
2016-09-07 02:54:17.841;1.27
2016-09-07 02:54:47.865;1.56
2016-09-07 02:55:17.842;1.87
2016-09-07 02:55:47.858;2.14
2016-09-07 02:56:17.845;1.94
2016-09-07 02:56:47.873;1.93
2016-09-07 02:57:17.846;1.8
2016-09-07 02:57:47.874;1.6
2016-09-07 02:58:17.849;1.63
2016-09-07 02:58:47.884;1.78
2016-09-07 02:59:17.851;1.56
2016-09-07 02:59:47.877;1.3
2016-09-07 03:00:17.852;1.14
2016-09-07 03:00:47.865;1.08
2016-09-07 03:01:17.856;0.83
2016-09-07 03:01:47.891;0.76
2016-09-07 03:02:17.856;0.67
2016-09-07 03:02:47.885;0.41
2016-09-07 03:03:17.857;0.37
2016-09-07 03:03:47.872;0.41
2016-09-07 03:04:17.859;0.41
2016-09-07 03:04:47.883;0.69
2016-09-07 03:05:17.860;1.17
2016-09-07 03:05:47.880;1.57
2016-09-07 03:06:17.862;1.74
2016-09-07 03:06:47.883;1.58
2016-09-07 03:07:17.864;1.37
2016-09-07 03:07:47.888;2.01
2016-09-07 03:08:17.865;2.0
2016-09-07 03:08:47.883;1.87
2016-09-07 03:09:17.866;1.61
2016-09-07 03:09:47.890;1.5
2016-09-07 03:10:17.868;1.13
2016-09-07 03:10:47.886;0.82
2016-09-07 03:11:17.868;0.9
2016-09-07 03:11:47.883;0.85
2016-09-07 03:12:17.871;1.0
2016-09-07 03:12:47.880;0.6
2016-09-07 03:13:17.872;0.37
2016-09-07 03:13:47.890;0.47
2016-09-07 03:14:17.874;0.43
2016-09-07 03:14:47.890;0.54
2016-09-07 03:15:17.876;1.01
2016-09-07 03:15:47.888;1.24
2016-09-07 03:16:17.876;1.37
2016-09-07 03:16:47.895;1.62
2016-09-07 03:17:17.876;1.56
2016-09-07 03:17:47.884;1.68
2016-09-07 03:18:17.879;1.8
2016-09-07 03:18:47.892;1.88
2016-09-07 03:19:17.880;1.77
2016-09-07 03:19:47.898;1.19
2016-09-07 03:20:17.882;1.24
2016-09-07 03:20:47.899;1.46
2016-09-07 03:21:17.883;1.62
2016-09-07 03:21:47.907;1.32
2016-09-07 03:22:17.885;1.03
2016-09-07 03:22:47.911;0.85
2016-09-07 03:23:17.886;0.52
2016-09-07 03:23:47.897;0.42
2016-09-07 03:24:17.889;0.66
2016-09-07 03:24:47.909;0.78
2016-09-07 03:25:17.888;1.16
2016-09-07 03:25:47.907;1.61
2016-09-07 03:26:17.891;1.81
2016-09-07 03:26:47.909;1.83
2016-09-07 03:27:17.893;1.84
2016-09-07 03:27:47.914;1.48
2016-09-07 03:28:17.894;1.18
2016-09-07 03:28:47.905;1.43
2016-09-07 03:29:17.895;1.27
2016-09-07 03:29:47.915;1.5
2016-09-07 03:30:17.897;1.6
2016-09-07 03:30:47.922;1.36
2016-09-07 03:31:17.898;1.35
2016-09-07 03:31:47.922;1.37
2016-09-07 03:32:17.901;0.83
2016-09-07 03:32:47.914;0.63
2016-09-07 03:33:17.901;0.54
2016-09-07 03:33:47.925;0.47
2016-09-07 03:34:17.901;0.29
2016-09-07 03:34:47.921;0.38
2016-09-07 03:35:17.903;0.35
2016-09-07 03:35:47.926;0.37
2016-09-07 03:36:17.904;1.01
2016-09-07 03:36:47.930;1.59
2016-09-07 03:37:17.905;1.59
2016-09-07 03:37:47.926;1.75
2016-09-07 03:38:17.908;1.69
2016-09-07 03:38:47.921;1.02
2016-09-07 03:39:17.909;1.06
2016-09-07 03:39:47.931;1.43
2016-09-07 03:40:17.918;1.66
2016-09-07 03:40:47.925;1.62
2016-09-07 03:41:17.912;1.77
2016-09-07 03:41:47.928;1.36
2016-09-07 03:42:17.912;1.09
2016-09-07 03:42:47.936;0.91
2016-09-07 03:43:17.913;0.55
2016-09-07 03:43:47.935;0.48
2016-09-07 03:44:17.916;0.42
2016-09-07 03:44:47.938;0.25
2016-09-07 03:45:17.920;0.4
2016-09-07 03:45:47.927;0.53
2016-09-07 03:46:17.930;1.13
2016-09-07 03:46:47.933;1.47
2016-09-07 03:47:17.918;1.68
2016-09-07 03:47:47.942;1.65
2016-09-07 03:48:17.920;1.52
